id_ville,Ville,Region,Delai min,Delai max,",Tarif"
1,ADISS,CATHEDIS ,1,1,25
2,AFOURER,CATHEDIS ,2,4,25
3,AGADIR,CATHEDIS ,1,1,25
4,AGAFAY,CATHEDIS ,2,4,25
5,AGDZ,CATHEDIS ,1,3,25
6,Aghbalou,CATHEDIS ,2,6,25
7,AGHMAT,CATHEDIS ,2,4,25
8,AGLOU,CATHEDIS ,2,6,25
9,AGOUIM,CATHEDIS ,2,4,25
10,AGOURAI,CATHEDIS ,1,1,25
11,AGUELMOUSS,CATHEDIS ,2,6,25
12,AHFIR,CATHEDIS ,1,1,25
13,AIN AICHA,CATHEDIS ,1,1,25
14,AIN ALLAH,CATHEDIS ,1,1,25
15,AÏN ATTIQ,CATHEDIS ,1,1,25
16,AIN BEIDA,CATHEDIS ,2,4,25
17,AIN BENI MATHAR,CATHEDIS ,2,4,25
18,AIN CHEBAK,CATHEDIS ,2,4,25
19,AIN CHEGGAG,CATHEDIS ,1,1,25
20,AIN CHKEF,CATHEDIS ,1,1,25
21,AIN DEFALI,CATHEDIS ,2,4,25
22,AIN DORIJ,CATHEDIS ,1,1,25
23,AIN EL AOUDA,CATHEDIS ,1,1,25
24,AIN EL ORMA,CATHEDIS ,2,3,25
25,AIN EL ORMA,CATHEDIS ,1,1,25
26,AIN HARROUDA,CATHEDIS ,1,1,25
27,AIN JIRRI,CATHEDIS ,2,3,25
28,AIN KANSARA,CATHEDIS ,1,1,25
29,AIN KARMA,CATHEDIS ,1,1,25
30,AIN KARMA,CATHEDIS ,1,1,25
31,AIN MEDIOUNA - TAOUNATE,CATHEDIS ,2,3,25
32,AIN TAOUJDATE,CATHEDIS ,1,1,25
33,AIN ZZABDA,CATHEDIS ,2,4,25
34,AIT AMIRA,CATHEDIS ,1,1,25
35,AIT BAHA,CATHEDIS ,2,4,25
36,AIT BELKACEM,CATHEDIS ,2,3,25
37,AIT BEN HADO,CATHEDIS ,2,6,25
38,AIT IAZZA,CATHEDIS ,1,1,25
39,AIT ISHAQ,CATHEDIS ,2,6,25
40,AIT KAMRA,CATHEDIS ,2,6,25
41,AIT MELLOUL,CATHEDIS ,1,1,25
42,AIT MOUSSA-AGADIR,CATHEDIS ,2,4,25
43,AÏT OURIR,CATHEDIS ,2,4,25
44,AIT YAAZEM,CATHEDIS ,1,1,25
45,AIT YAAZEM,CATHEDIS ,2,4,25
46,AJDIR (J+1),CATHEDIS ,2,6,25
47,AKCHOUR,CATHEDIS ,2,6,25
48,AKKA,CATHEDIS ,2,3,25
49,AKKA IGHANE,CATHEDIS ,1,3,25
50,AKKA IGUIRENE,CATHEDIS ,1,3,25
51,AKLIM,CATHEDIS ,2,6,25
52,AKNOUL-TAZA,CATHEDIS ,1,3,25
53,AL AAROUI,CATHEDIS ,1,1,25
54,AL HOCEIMA,CATHEDIS ,1,1,25
55,ALMINA,CATHEDIS ,1,1,25
56,AMAZRAOU,CATHEDIS ,1,1,25
57,AMIZMIZZ,CATHEDIS ,2,6,25
58,AMSA,CATHEDIS ,2,3,25
59,AMSKROUD,CATHEDIS ,2,6,25
60,ANCIENNE ESSAOUIRA,CATHEDIS ,2,3,25
61,ANZA,CATHEDIS ,1,1,25
62,AOULOUZ,CATHEDIS ,1,1,25
63,AOURIR,CATHEDIS ,1,1,25
64,ARBAOUA-CHEFCHAOUEN,CATHEDIS ,2,6,25
65,AREKMANE,CATHEDIS ,2,4,25
66,ASILAH,CATHEDIS ,2,3,25
67,ASJEN,CATHEDIS ,2,3,25
68,ASNI,CATHEDIS ,2,6,25
69,ASSA-GUELMIM,CATHEDIS ,2,6,25
70,AZEMMOUR,CATHEDIS ,1,1,25
71,AZILAL,CATHEDIS ,1,1,25
72,AZLA,CATHEDIS ,1,1,25
73,AZROU,CATHEDIS ,1,1,25
74,AZZABA - SEFROU,CATHEDIS ,1,1,25
75,BAB BERRED,CATHEDIS ,2,3,25
76,BAB MARZOUKA-TAZA,CATHEDIS ,1,1,25
77,BABE TAZA,CATHEDIS ,1,1,25
78,BARRIO CHINO,CATHEDIS ,1,1,25
79,BEDOUZA,CATHEDIS ,2,6,25
80,BEJAAD,CATHEDIS ,2,3,25
81,BELFAA,CATHEDIS ,1,1,25
82,BEN AHMED-SETTAT R,CATHEDIS ,1,1,25
83,BEN GUERIR,CATHEDIS ,2,3,25
84,BEN KHLIL,CATHEDIS ,2,4,25
85,BEN TAIEB,CATHEDIS ,1,3,25
86,BENI CHIKER,CATHEDIS ,2,4,25
87,BENI MELLAL,CATHEDIS ,2,6,25
88,BENI OUAL,CATHEDIS ,1,1,25
89,BENI OULID,CATHEDIS ,2,3,25
90,BENI TADJIT-OUJDA,CATHEDIS ,1,1,25
91,BENI YAKHLEF,CATHEDIS ,2,3,25
92,BENI ZOLI,CATHEDIS ,1,1,25
93,BENSLIMANE,CATHEDIS ,2,3,25
94,BERKANE,CATHEDIS ,2,3,25
95,BERRECHID,CATHEDIS ,1,1,25
96,BHALIL,CATHEDIS ,1,1,25
97,BIOGRA,CATHEDIS ,1,1,25
98,BIR JDID,CATHEDIS ,1,1,25
99,BNI AHMED GHARBIA,CATHEDIS ,1,3,25
100,BNI AMART (J+2),CATHEDIS ,1,1,25
101,BNI ASSEM,CATHEDIS ,2,6,25
102,BNI AYAT-BENI MELLAL,CATHEDIS ,2,4,25
103,BNI BOUAYACH (J+1),CATHEDIS ,1,1,25
104,BNI BOUFRAH (J+2),CATHEDIS ,1,1,25
105,BNI DRAR,CATHEDIS ,2,3,25
106,BNI HDIFA (J+2),CATHEDIS ,1,1,25
107,BNI KHLOUG-SETTAT R,CATHEDIS ,1,1,25
108,BNI NSAR,CATHEDIS ,2,3,25
109,BOU AHMED,CATHEDIS ,2,6,25
110,BOUARFA,CATHEDIS ,2,3,25
111,BOUARG,CATHEDIS ,2,4,25
112,BOUCHANE-KETTARA,CATHEDIS ,2,6,25
113,BOUDERBALA,CATHEDIS ,1,1,25
114,BOUDEROUA,CATHEDIS ,2,6,25
115,BOUDINAR,CATHEDIS ,2,6,25
116,BOUDNIB-ERRACHIDIA,CATHEDIS ,2,4,25
117,BOUFEKRANE,CATHEDIS ,1,1,25
118,BOUHOUDA,CATHEDIS ,2,3,25
119,BOUJDOUR,CATHEDIS ,1,1,25
120,BOUJNIBA,CATHEDIS ,2,3,25
121,BOUKIDARNE (J+1),CATHEDIS ,1,1,25
122,BOULANOUARE-KHOURIBGA,CATHEDIS ,2,4,25
123,BOULAOUANE-SETTAT R,CATHEDIS ,1,1,25
124,BOULEMANE,CATHEDIS ,1,1,25
125,BOUMALNE DADES,CATHEDIS ,1,1,25
126,BOUMIA,CATHEDIS ,2,4,25
127,BOUNAAMANE-TIZNIT,CATHEDIS ,2,6,25
128,BOUSKOURA,CATHEDIS ,1,1,25
129,BOUZNIKA,CATHEDIS ,2,3,25
130,BOUZOUG-AGADIR,CATHEDIS ,2,4,25
131,BRIDIA,CATHEDIS ,2,3,25
132,BRIKCHA,CATHEDIS ,1,1,25
133,CABO NEGRO,CATHEDIS ,1,1,25
134,CAFEMAURE,CATHEDIS ,1,1,25
135,CASABLANCA,CATHEDIS ,1,1,25
136,CHEFCHAOUEN,CATHEDIS ,1,1,25
137,CHELLALAT,CATHEDIS ,1,1,25
138,CHEMAIA,CATHEDIS ,2,3,25
139,CHERAFAT,CATHEDIS ,1,3,25
140,CHICHAOUA,CATHEDIS ,2,3,25
141,CHRIFIA,CATHEDIS ,2,3,25
142,CHWITER,CATHEDIS ,2,4,25
143,CRONA,CATHEDIS ,2,6,25
144,DAKHLA,CATHEDIS ,1,1,25
145,DAR GUEDDARI-SIDI KACEM,CATHEDIS ,2,6,25
146,DAR KEBDANI,CATHEDIS ,2,6,25
147,DAR OUM SOLTANE,CATHEDIS ,2,6,25
148,DARBOUAZZA,CATHEDIS ,1,1,25
149,DCHIRA,CATHEDIS ,1,1,25
150,DERDARA,CATHEDIS ,2,4,25
151,DEROUA,CATHEDIS ,1,1,25
152,Dkhissa,CATHEDIS ,1,1,25
153,DLALHA,CATHEDIS ,2,3,25
154,DOUAR BELAAGID,CATHEDIS ,2,6,25
155,DOUAR CHLOUH,CATHEDIS ,2,6,25
156,DOUAR LAKHTATBA,CATHEDIS ,2,6,25
157,DOUAR RIHIYENNE,CATHEDIS ,2,3,25
158,DOUIYAT - FES,CATHEDIS ,1,1,25
159,DRARGA,CATHEDIS ,1,1,25
160,DRIOUECH,CATHEDIS ,1,1,25
