REF ARTICLE,CATEGORIE,GENRE,PRIX UNITAIRE,POINTURE,COULEUR,PHASE,PRIX UPSEL 1,PRIX UPSEL 2,PRIX UPSEL 3,PRIX UPSEL 4,PRIX LIQ 1
CHAUSS FEM YZ131,CHAUSSURE,FEMME,239,37---41,BEIGE - BLEU MARINE - GRENAT - MARRON - NOIR -  ,EN COURS,408.0,567.0,716.0,130.0,149.0
MULE FEM YZ1121,MULES,FEMME,289,36-41,BEIGE - ROUGE - NOIR  - MARRON - SAUMON - DOREE - GRIS NOIR ,EN COURS,498.0,717.0,916.0,180.0,189.0
SDL FEM YZ86,SANDALE,FEMME,199,37---41,MARRON- NOIR - BEIGE  ,EN COURS,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ161,SANDALE,FEMME,199,37---41,GRENAT - NOIR - MARRON - BEIGE - BLEU MARINE,EN COURS,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ02,SANDALE,FEMME,199,37---41,BLEU MARINE - NOIR - MARRON - ROSE - BEIGE,EN COURS,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ119,SANDALE,FEMME,219,37---41,ROSE- CUIVRE - GRIS NOIR - NOIR - BLEU CIEL,EN COURS,388.0,522.0,656.0,110.0,134.0
SDL FEM YZ496,SANDALE,FEMME,239,36---40,BLEU - ROSE - CAMEL - NOIR - BEIGE ,EN COURS,408.0,567.0,716.0,130.0,149.0
ESPA FEM YZ1014,ESPADRILLE,FEMME,249,36---40,BEIGE - BLANC - NOIR,EN COURS,418.0,597.0,756.0,140.0,159.0
SAB FEM YZ502,SABOT,FEMME,249,37---41,,EN COURS,418.0,597.0,756.0,140.0,159.0
ESPA FEM YZ1017,ESPADRILLE,FEMME,285,36---40,BLEU MARINE - NOIR - BLANC - MARRON,EN TEST,490.0,705.0,900.0,176.0,185.0
SDL FEM YZ337,SANDALE,FEMME,199,36-41,NOIR- BEIGE-TABAC- MARRON,EN COURS,0.0,0.0,0.0,0.0,0.0
 CHAUSS FEM YZ249,CHAUSSURE,FEMME,299,37---40,"NOIR -MARRON
",EN COURS,518.0,747.0,956.0,190.0,199.0
SDL FEM YZ1366,SANDALE,FEMME,199,37---40,NOIR - GRENAT - BLANC - TABAC BEIGE,EN COURS,0.0,0.0,0.0,0.0,0.0
MULE FEM YZ408,MULES,FEMME,299,36---40,NOIR -  SABLE- BEIGE - ROSE  ,EN COURS,518.0,747.0,956.0,190.0,199.0
SDL HOM YZ625,SANDALE,HOMME,299,40 - 44,MARRON- NOIR - TABAC,EN COURS,518.0,747.0,956.0,190.0,199.0
SDL FEM YZ343,SANDALE,FEMME,269,37---40,BIEGE - BLANC - NOIR - TABAC,EN TEST,458.0,657.0,836.0,160.0,179.0
SDL FEM YZ920,SANDALE,FEMME,285,36---40,MARRON - NOIR - BEIGE,EN COURS,490.0,705.0,900.0,176.0,185.0
 CHAUSS FEM YZ384,CHAUSSURE,FEMME,299,37---40,"NOIR - BEIGE
-TABAC",EN COURS,518.0,747.0,956.0,190.0,199.0
 SDL FEM YZ494,SANDALE,FEMME,199,37---40,BLANC - BEIGE - SABLE - NOIR,EN TEST,0.0,0.0,0.0,0.0,0.0
SAB FEM YZ72,SABOT,FEMME,140,37---40,NOIR - MARRON - BEIGE - RAYURE TIGRE,EN LIQUIDATION,200.0,270.0,320.0,31.0,50.0
SDL FEMYZ331,SANDALE,FEMME,199,37---41,PESTACHE - BEIGE - NOIR - MARRON,EN COURS,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ913,SANDALE,FEMME,329,37---40,"NOIR - BEIGE
- MARRON-BLANC CASSE",EN COURS,578.0,837.0,1076.0,220.0,229.0
ESCA FEM YZ1118,ESCARPINS,FEMME,269,37---40,BLEU - NOIR - MARRON - ROSE -BEIGE - SABLE - TABAC ,EN COURS,458.0,657.0,836.0,160.0,179.0
SDL FEM YZ123,SANDALE,FEMME,199,37---41,NOIR-VERT-ROSE -BLEU CIEL - BLEU MARINE- GRENAT -MARRON - BEIGE ,EN COURS,0.0,0.0,0.0,0.0,0.0
ESCA FEM YZ1371,SANDALE,FEMME,249,37---40,MARRON - NOIR - BEIGE,EN COURS,418.0,597.0,756.0,140.0,159.0
SDL FEM YZ334,SANDALE,FEMME,199,37---41,BEIGE - MARRON - NOIR - CUIVRE - GRIS,EN COURS,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ573,SANDALE,FEMME,279,37---40,BLEU CIEL - BIEGE - NOIR - TABAC,EN COURS,478.0,687.0,876.0,170.0,179.0
SDL FEM YZ487,SANDALE,FEMME,139,37---41,MARRON - BEIGE - NOIR - BLANC - BLEU CIEL - ROSE -SABLE ,EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
ESPA FEM YZ1010,ESPADRILLE,FEMME,299,36---40,BLANC -  ROSE - MARRON - GRIS ,EN TEST,518.0,747.0,956.0,190.0,199.0
SDL FEM YZ107,SANDALE,FEMME,119,37---41,NOIR - MARRON -GRIS - BLEU MARRINE - ROSE - PESTACHE - SABLE,EN COURS,0.0,0.0,0.0,0.0,0.0
SDL HOM YZ740,SANDALE,HOMME,299,40 - 44,MARRON- NOIR,EN COURS,518.0,747.0,956.0,190.0,199.0
CHAUSS FEM YZ374,CHAUSSURE,FEMME,119,37---40,MARRON - BEIGE - NOIR ,EN LIQUIDATION,158.0,207.0,236.0,10.0,29.0
SDL FEM YZ919,SANDALE,FEMME,199,36---40,NOIR - BEIGE - MARRON - BLANC,EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
CHAUSS FEM YZ1375,CHAUSSURE,FEMME,265,37---40,NOIR - MARRON - BEIGE - CUIVRE,EN TEST,0.0,0.0,0.0,0.0,0.0
ESPA ENFANT YZ05,ESPADRILLE,"GARCON, FILLE",229,26-30,GRIS - BEIGE - NOIR - ROSE,EN TEST,398.0,537.0,676.0,120.0,139.0
CHAUSS FEM YZ247,CHAUSSURE,FEMME,299,36---40,MARRON- NOIR ,EN COURS,518.0,747.0,956.0,190.0,199.0
ESCA FEM YZ1110,ESCARPINS,FEMME,259,37---40,GRENAT - BEIGE - MARRON - NOIR,EN COURS,438.0,627.0,796.0,150.0,169.0
SDL HOM YZ770,SANDALE,HOMME,265,40 - 44, NOIR - MARRON,EN COURS,450.0,645.0,820.0,156.0,165.0
SDL FEM YZ914,SANDALE,FEMME,149,37---40,"NOIR - BEIGE
- MARRON",EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
 SAB HOM YZ680,SABOT,HOMME,349,40 - 44,"NOIR-MARRON
BLEU MARIN",EN LIQUIDATION,618.0,897.0,1156.0,240.0,249.0
SDL FEM YZ1372,SANDALE,FEMME,199,37---40,MARRON - NOIR - BEIGE,EN TEST,0.0,0.0,0.0,0.0,0.0
CHAUSS FEM YZ1360,CHAUSSURE,FEMME,199,37---40,MARRON- NOIR - BEIGE - BLEU,EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
CHAUSS FEM YZ1361,CHAUSSURE,FEMME,199,37---40,BLEU CIEL - BLEU MARRINE - NOIR - BEIGE,EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ1373,SANDALE,FEMME,199,37---40,CUIVRE - DOREE,EN TEST,0.0,0.0,0.0,0.0,0.0
PACK FEM,PACK,FEMME,399,36---40,NOIR -  SABLE- BEIGE - ROSE  ,EN COURS,718.0,1047.0,1356.0,290.0,299.0
SDL FEM YZ114 JEANS,SANDALE,FEMME,139,37---41,TABAC- NOIR - BLEU CIEL,EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ125,SANDALE,FEMME,139,37---41,BLEU  - GRENAT - MARRON - NOIR - VERT,EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ548,SANDALE,FEMME,199,37---41,NOIR - BEIGE - MARRON- SABLE,EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ1369,SANDALE,FEMME,199,37---40,BEIGE - MARRON - NOIR - CUIVRE,EN TEST,0.0,0.0,0.0,0.0,0.0
ESCA FEM YZ1114,ESCARPINS,FEMME,279,37---40,ROUGE - NOIR - MARRON - BLANC - BEIGE - GRENAT,EN TEST,478.0,687.0,876.0,170.0,179.0
CHAUSS FEM YZ262,CHAUSSURE,FEMME,149,37---41,NOIR - TABAC - BLEU - GRENET,EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
SDL FEM YZ956,SANDALE,FEMME,199,37---40,BLANC - BLEU MARINE - GRENAT - NOIR - TABAC - SABLE,EN LIQUIDATION,0.0,0.0,0.0,0.0,0.0
